# Real function names for this PAL build, from bordplate's NTSC project RC1
# (codeberg.org/bordplate/RC1, config/symbols.txt), mapped to PAL addresses.
# Only confident mappings are listed; see docs/DECOMP_PROGRESS.md.
#
# The build and tools keep using func_<ADDR> (the address IS the name there);
# these names are annotated in src/ as comments.
#
# <pal symbol>  <mangled name>  <demangled>  | <evidence>

func_0011DFC8  __main  __main  | libgcc2 L__main, matched byte for byte
func_0023D340  viBufAddDMA__FP5ViBuf  viBufAddDMA(ViBuf *)  | text: NTSC/PAL function-size alignment
func_0023D540  viBufStopDMA__FP5ViBuf  viBufStopDMA(ViBuf *)  | text: NTSC/PAL function-size alignment
func_0023D650  viBufRestartDMA__FP5ViBuf  viBufRestartDMA(ViBuf *)  | text: NTSC/PAL function-size alignment
func_0023D988  viBufDelete__FP5ViBuf  viBufDelete(ViBuf *)  | text: NTSC/PAL function-size alignment
func_0023D9E0  viBufCount__FP5ViBuf  viBufCount(ViBuf *)  | text: NTSC/PAL function-size alignment
func_0023DA30  viBufFlush__FP5ViBuf  viBufFlush(ViBuf *)  | text: NTSC/PAL function-size alignment
func_0023DA88  viBufModifyPts__FP5ViBufP9TimeStamp  viBufModifyPts(ViBuf *, TimeStamp *)  | text: NTSC/PAL function-size alignment
func_0023DBE0  viBufPutTs__FP5ViBufP9TimeStamp  viBufPutTs(ViBuf *, TimeStamp *)  | text: NTSC/PAL function-size alignment
func_0023DCF0  viBufGetTs__FP5ViBufP9TimeStamp  viBufGetTs(ViBuf *, TimeStamp *)  | text: NTSC/PAL function-size alignment
func_0023DE98  videoDecCreate__FP8VideoDecPUciPUxT3iP9TimeStampi  videoDecCreate(VideoDec *, unsigned char *, int, unsigned long long *, unsigned long long *, int, TimeStamp *, int)  | text: NTSC/PAL function-size alignment
