segment,name,vram,size
core_text,func_0012D2A0,0x0012D2A0,0x9C
core_text,func_0012D340,0x0012D340,0x40
core_text,func_0012D380,0x0012D380,0x60
core_text,func_0012D3E0,0x0012D3E0,0xC
core_text,func_0012D3F0,0x0012D3F0,0x4C
core_text,func_0012D440,0x0012D440,0x4
core_text,func_0012D448,0x0012D448,0x68
core_text,func_0012D4B0,0x0012D4B0,0x2C
core_text,func_0012D4E0,0x0012D4E0,0x20
core_text,func_0012D500,0x0012D500,0x68
core_text,func_0012D568,0x0012D568,0x68
core_text,func_0012D5D0,0x0012D5D0,0xB4
core_text,func_0012D688,0x0012D688,0xA4
core_text,func_0012D730,0x0012D730,0x30
core_text,func_0012D760,0x0012D760,0x24
core_text,func_0012D788,0x0012D788,0x8C
core_text,func_0012D818,0x0012D818,0x48
core_text,func_0012D868,0x0012D868,0x1C0
core_text,func_0012DA28,0x0012DA28,0x8
core_text,func_0012DA30,0x0012DA30,0x8
core_text,func_0012DA38,0x0012DA38,0xDC
core_text,func_0012DB18,0x0012DB18,0x2A8
core_text,func_0012DDC0,0x0012DDC0,0x1E0
core_text,func_0012DFA0,0x0012DFA0,0xC
core_text,func_0012DFB0,0x0012DFB0,0x88
core_text,func_0012E038,0x0012E038,0x1C
core_text,func_0012E058,0x0012E058,0x15C
core_text,func_0012E1B8,0x0012E1B8,0x120
core_text,func_0012E2D8,0x0012E2D8,0x3C
core_text,func_0012E318,0x0012E318,0x30
core_text,func_0012E348,0x0012E348,0x34
core_text,func_0012E380,0x0012E380,0x30
core_text,func_0012E3B0,0x0012E3B0,0x44
core_text,func_0012E3F8,0x0012E3F8,0x3C
core_text,func_0012E438,0x0012E438,0x58
core_text,func_0012E490,0x0012E490,0x48
core_text,func_0012E4D8,0x0012E4D8,0x4C
core_text,func_0012E528,0x0012E528,0x30
core_text,func_0012E558,0x0012E558,0x30
core_text,func_0012E588,0x0012E588,0x30
core_text,func_0012E5B8,0x0012E5B8,0x90
core_text,func_0012E648,0x0012E648,0x3C
core_text,func_0012E688,0x0012E688,0x194
